qid,sentid,question,sentence text,label
1664,1,Is the protein FAK (Focal Adhesion Kinase) phosphorylated?,yrosine phosphorylated FAK,0
1539,56,Which is the causative agent of malaria?,"In spite of research efforts to develop vaccines against the causative agent of human malaria, Plasmodium falciparum, effective control remains elusive.",0
3683,4,Is there an increased risk for meningiomas in childhood leukemia survivors?,We encountered a patient who developed multiple intracranial radiation-induced meningiomas (RIMs) 25 years after prophylactic cranial irradiation for the treatment of acute leukemia in childhood.,0
3308,12,What is 23andMe?,"Direct-to-consumer (DTC) genetic testing companies, such as 23andMe, allow consumers to access their genetic information directly through an online service without the involvement of healthcare professionals.",0
2063,4,Is Melioidosis caused by the bacterium Burkholderia pseudomallei?,"Melioidosis, caused by the gram-negative bacterium Burkholderia pseudomallei, is a common cause of community-acquired sepsis in Southeast Asia and Northern Australia.",0
784,24,Can NXY-059 be used for treatment of acute ischemic stroke patients?,Additional research is needed to confirm whether NXY-059 is beneficial in ischemic stroke.,0
2094,3,Which syndrome is caused by deletion of Pds5b in mice?,Pds5B mutant mice have developmental abnormalities resembling CdLS; however the role of Pds5A in mammals and the association of PDS5 proteins with CdLS are unknown.,1
140,108,In which proteins is the chromodomain present?,The chromodomain of MPP8 recognizes the dimethylated Dnmt3aK44me2.,0
697,3,Are there randomised controlled trials on sevoflurane?,Patients were randomly assigned to receive either sevoflurane or propofol for short-term sedation.,1
3998,6,Which yeast genes encode for condensin?,Both SMC2 and SMC4 are essential for chromosome transmission in anaphase.,1
3968,50,What disease does BCG immunotherapy used to treat?,BCG immunotherapy for transitional-cell carcinoma in situ of the bladder.,0
564,9,The drug JTV519 is derivative of which group of chemical compounds?,"A newly synthesized 1,4-benzothiazipine derivate, 4-[3-(4-benzylpiperidin-1-yl) propionyl]-7-methoxy-2,3,4,5-tetrahydro-1, 4-benzothiazepine monohydrochloride (JTV-519) was examined for its ability to reverse P-glycoprotein (P-gp) and multidrug resistance protein 1 (MRP1) mediated multidrug resistance (MDR) in K562/MDR and KB/MRP cells, respectively.",0
1784,3,What is Neisseria adhesin A?,"As a vaccine antigen, NadA has been shown to induce high levels of bactericidal antibodies",1
3006,17,Is galcanezumab effective for treatment of migraine?,"BACKGROUND
Galcanezumab, a humanized monoclonal antibody that selectively binds to the calcitonin gene-related peptide, has demonstrated in previous Phase 2 and Phase 3 clinical studies (≤6-month of treatment) a reduction in the number of migraine headache days and improved patients' functioning.",0
361,6,What are the names of anti-CD52 monoclonal antibody that is used for treatment of multiple sclerosis patients?,Alemtuzumab is a humanized monoclonal antibody specific for the CD52 protein present at high levels on the surface of B and T lymphocytes.,0
4201,23,Which molecule is targeted by Teprotumumab?,Both,0
2064,8,What is the mechanism of action of verubecestat?,"Although not selective over the closely related aspartyl protease BACE2, verubecestat has high selectivity for BACE1 over other key aspartyl proteases, notably cathepsin D, and profoundly lowers CSF and brain Aβ levels in rats and nonhuman primates and CSF Aβ levels in humans.",0
858,13,"What is the biological role of SERCA2 SUMOylation in cardiac physiology and pathophysiology, such as in heart failure?","Taken together, our data show that SUMOylation is a critical post-translational modification that regulates SERCA2a function, and provide a platform for the design of novel therapeutic strategies for heart failure",0
2627,8,Describe mechanism of action of Romosozumab.,Update on romosozumab : a humanized monoclonal antibody to sclerostin.,0
226,31,Which protein is the E3-ubiquitin ligase that targets the tumor suppressor p53 for proteasomal degradation?,Targeting the E3 ubiquitin ligase HDM2 can lead to a therapeutic surge in p53 levels.,0
36,18,Which fusion protein is involved in the development of Ewing sarcoma?,Fusion of the EWS gene to FLI1 produces a fusion oncoprotein that drives an aberrant gene expression program responsible for the development of Ewing sarcoma.,0
2056,0,Is PUVA therapy indicated for eczema treatment?,"With bath PUVA treatment, the best results were found in patients with hyperkeratotic eczema (17/22; 77% good clinical response) followed by patients with palmoplantar psoriasis (26/41; 63%) and patients with dyshidrotic eczema (8/16; 50%).",0
1883,1,Is there any tool that facilitates the functional analysis of cis-regulatory regions in zebrafish?,"he cis-regulatory sequences control when, where, and how much genes are transcribed and can activate (enhancers) or repress (silencers) gene expression.",0
1913,5,Is avanafil indicated for treatment of erectile dysfunction?,"Sildenafil, vardenafil, tadalafil and avanafil are FDA approved drugs in market as PDE5 inhibitors for treating erectile dysfunction.",0
4119,21,Can propofol cause green urine?,"green colour of urine due to Propofol occurs when clearance of Propofol exceeds hepatic elimination, and extrahepatic elimination of Propofol occurs.",1
4169,3,Has dupilumab been FDA approved for atopic dermatitis?,Dupilumab is the first US FDA approved biologic for treatment of atopic dermatitis.,1
163,36,Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?,MicroRNA-21 contributes to myocardial disease by stimulating MAP kinase signalling in fibroblasts,0
813,9,Does a selective sweep increase genetic variation?,This phenomenon is known as a selective sweep.,0
1038,27,What are the indications for alteplase?,A reduced dose of alteplase to increase coronary artery patency prior to angioplasty may be useful in MI.,0
3752,14,What is the use of the Liverpool Elbow Score?,"The Liverpool Elbow Score (LES) is a newly developed, validated elbow-specific score.",1
3117,7,Are there tools for visualizing and processing long-read sequencing data?,"Here we describe NanoPack, a set of tools developed for visualization and processing of long-read sequencing data from Oxford Nanopore Technologies and Pacific Biosciences.",1
1675,13,List inhibtors targeting the mitochondrial permeability transition pore.,"ADP is not only a key substrate for ATP generation, but also a potent inhibitor of mitochondrial permeability transition pore (mPTP).",0
1910,17,Could plasmepsins be used as targets for developing anti-malaria drugs?,"Given recent advances in understanding the fundamental roles of the various plasmepsins, it is likely that the most effective antimalarial plasmepsin targets will be the non-digestive vacuole plasmepsins.",0
1689,2,Is Achondroplasia associated with hearing loss?,"Failed hearing screen was defined as hearing ≥ 35 dB at one or more frequencies or by ""fail"" on otoacoustic emissions.",0
826,0,What is the mechanism of action of DNA topoisomerase II inhibitors?,"DNA topoisomerase II inhibitors are a major class of cancer chemotherapeutics, which are thought to eliminate cancer cells by inducing DNA double-strand breaks.",1
3957,17,Which diseases are associated with the Yaa gene?,"ompared the clinical development (autoantibody production and glomerulonephritis) of systemic lupus erythematosus (SLE) in these three F1 hybrids in the presence or absence of the mutant gene, Yaa (Y chromosome-linked autoimmune acceleration), which normally accelerates the progression of murine SLE.",0
148,8,Which is the cellular localization of the protein Opa1?,Regulation of the mitochondrial dynamin-like protein Opa1 by proteolytic cleavage.,0
1882,1,What is Bartter syndrome?,"The mutations in the CLCNKB gene encoding the ClC-Kb chloride channel are responsible for Bartter syndrome type 3, one of the four variants of Bartter syndrome in the genetically based nomenclature.",0
1347,17,Is the protein product of the cylindromatosis gene (CYLD) a deubiquitinating enzyme?,Deubiquitinating enzymes (DUB) form a family of cysteine proteases that digests ubiquitin chains and reverses the process of protein ubiquitination.,0
2685,20,In which syndrome is the RPS19 gene most frequently mutated?,"Diamond-Blackfan anemia (DBA) is a congenital bone marrow failure syndrome characterized by hypoproliferative anemia, associated physical malformations and a predisposition to cancer.",0
1037,6,Is Vitamin D deficiency in pregnant women associated with gestational diabetes?,"Low maternal vitamin D levels in pregnancy may be associated with an increased risk of preeclampsia, gestational diabetes mellitus,",1
1406,9,Is there any genetic determinant of hair pigmentation that could be useful in forensic analyses?," five red hair colour (RHC) MC1R alleles,",0
663,1,List fish anti-freeze proteins.,pe III anti-freeze protein (AFP),1
3218,17,"Where in the body, is ghrelin secreted?","Ghrelin and feedback systems.Ghrelin is produced primarily in the stomach in response to hunger, and circulates in the blood.",0
407,19,List the off-label use of SSRIs,"Implication of changes in central neurotransmission in the pathogenesis of hot flashes has prompted the off-label use of serotonergic and γ-aminobutyric acid-ergic drugs as a therapeutic alternative,",0
2685,11,In which syndrome is the RPS19 gene most frequently mutated?,"The gene encoding the small subunit ribosomal protein 19 (RPS19) is mutated in about 25% of cases of the bone marrow failure syndrome Diamond Blackfan Anemia (DBA), a childhood disease characterized by failure of red cell production.",0
